queue_id,service_id,called,letter,position,created_date,created_time,updated_date,updated_time
1457,1,1,W,0,2024-02-05,16:05:00,2024-02-05,17:28:51
1458,2,1,NR,0,2024-02-05,16:12:39,2024-02-05,17:38:32
1459,2,1,NR,0,2024-02-05,16:15:09,2024-02-05,17:40:52
1460,1,1,W,0,2024-02-05,16:15:24,2024-02-05,17:29:28
1461,2,1,NR,0,2024-02-05,16:25:11,2024-02-05,17:45:09
1462,2,1,NR,0,2024-02-05,16:37:49,2024-02-05,17:48:02
1463,2,1,NR,0,2024-02-05,16:39:21,2024-02-05,17:51:49
1464,1,1,W,0,2024-02-06,09:23:31,2024-02-06,10:05:03
1465,1,1,W,0,2024-02-06,09:28:48,2024-02-06,10:06:26
1466,2,1,NR,0,2024-02-06,09:28:58,2024-02-06,09:41:31
1467,2,1,NR,0,2024-02-06,09:32:30,2024-02-06,09:41:47
1468,1,1,W,0,2024-02-06,09:33:07,2024-02-06,10:06:34
1469,2,1,NR,0,2024-02-06,09:37:49,2024-02-06,09:45:23
1470,1,1,W,0,2024-02-06,09:39:30,2024-02-06,10:06:48
1471,1,1,W,0,2024-02-06,09:42:19,2024-02-06,10:13:06
1472,2,1,NR,0,2024-02-06,09:51:49,2024-02-06,09:56:10
1473,1,1,W,0,2024-02-06,09:52:04,2024-02-06,10:17:55
1474,1,1,W,0,2024-02-06,09:54:23,2024-02-06,10:19:09
1475,1,1,W,0,2024-02-06,09:58:34,2024-02-06,10:22:33
1476,1,1,W,0,2024-02-06,10:07:58,2024-02-06,10:34:19
1477,2,1,NR,0,2024-02-06,10:08:12,2024-02-06,10:15:17
1478,1,1,W,0,2024-02-06,10:08:28,2024-02-06,10:34:40
1479,2,1,NR,0,2024-02-06,10:12:58,2024-02-06,10:23:15
1480,1,1,W,0,2024-02-06,10:13:55,2024-02-06,10:39:40
1481,1,1,W,0,2024-02-06,10:18:51,2024-02-06,10:48:44
1482,1,1,W,0,2024-02-06,10:21:12,2024-02-06,10:50:21
1483,2,1,NR,0,2024-02-06,10:22:17,2024-02-06,10:24:35
1484,2,1,NR,0,2024-02-06,10:23:27,2024-02-06,10:33:13
1485,2,1,NR,0,2024-02-06,10:31:40,2024-02-06,10:41:18
1486,2,1,NR,0,2024-02-06,10:36:28,2024-02-06,10:55:41
1487,1,1,W,0,2024-02-06,10:37:03,2024-02-06,10:56:11
1488,2,1,NR,0,2024-02-06,10:37:27,2024-02-06,10:59:29
1489,1,1,W,0,2024-02-06,10:40:09,2024-02-06,11:10:39
1490,1,1,W,0,2024-02-06,10:42:27,2024-02-06,11:17:22
1491,1,1,W,0,2024-02-06,10:43:26,2024-02-06,11:21:23
1492,2,1,NR,0,2024-02-06,10:43:45,2024-02-06,11:02:04
1493,2,1,NR,0,2024-02-06,10:43:53,2024-02-06,11:09:30
1494,1,1,W,0,2024-02-06,10:45:13,2024-02-06,11:31:02
1495,1,1,W,0,2024-02-06,10:45:26,2024-02-06,11:31:21
1496,3,1,T,0,2024-02-06,10:46:41,2024-02-06,11:33:19
1497,2,1,NR,0,2024-02-06,10:47:00,2024-02-06,11:18:45
1498,2,1,NR,0,2024-02-06,10:54:42,2024-02-06,11:19:06
1499,1,1,W,0,2024-02-06,10:57:03,2024-02-06,11:31:36
1500,1,1,W,0,2024-02-06,10:58:55,2024-02-06,11:54:50
1501,2,1,NR,0,2024-02-06,10:59:34,2024-02-06,11:26:10
1502,2,1,NR,0,2024-02-06,11:00:41,2024-02-06,11:34:12
1503,2,1,NR,0,2024-02-06,11:00:56,2024-02-06,11:46:45
1504,3,1,T,0,2024-02-06,11:03:24,2024-02-06,11:51:44
1505,2,1,NR,0,2024-02-06,11:04:55,2024-02-06,11:47:14
1506,1,1,W,0,2024-02-06,11:05:05,2024-02-06,11:55:15
1507,2,1,NR,0,2024-02-06,11:08:59,2024-02-06,11:49:48
1508,2,1,NR,0,2024-02-06,11:10:24,2024-02-06,12:08:41
1509,2,1,NR,0,2024-02-06,11:11:54,2024-02-06,12:20:46
1510,2,1,NR,0,2024-02-06,11:12:16,2024-02-06,12:32:48
1511,1,1,W,0,2024-02-06,11:13:45,2024-02-06,12:04:23
1512,2,1,NR,0,2024-02-06,11:17:27,2024-02-06,12:37:01
1513,2,1,NR,0,2024-02-06,11:18:35,2024-02-06,12:50:21
1514,2,1,NR,0,2024-02-06,11:18:47,2024-02-06,13:02:56
1515,2,1,NR,0,2024-02-06,11:24:59,2024-02-06,13:11:37
1516,2,1,NR,0,2024-02-06,11:25:35,2024-02-06,13:12:02
1517,2,1,NR,0,2024-02-06,11:28:01,2024-02-06,13:36:35
1518,1,1,W,0,2024-02-06,11:29:28,2024-02-06,12:13:17
